timestamp,weight
04_05_2022_20_21_06,565.00,
04_05_2022_20_21_07,564.97,
04_05_2022_20_21_08,564.99,
04_05_2022_20_21_10,565.00,
04_05_2022_20_21_11,565.00,
04_05_2022_20_21_12,565.01,
04_05_2022_20_21_13,565.00,
04_05_2022_20_21_15,564.97,
04_05_2022_20_21_16,565.00,
04_05_2022_20_21_17,565.00,
04_05_2022_20_21_18,564.99,
04_05_2022_20_21_20,564.98,
04_05_2022_20_21_21,564.97,
04_05_2022_20_21_22,564.98,
04_05_2022_20_21_24,564.98,
04_05_2022_20_21_25,564.97,
04_05_2022_20_21_26,564.98,
04_05_2022_20_21_28,564.98,
04_05_2022_20_21_29,565.00,
04_05_2022_20_21_30,564.96,
04_05_2022_20_21_32,565.01,
04_05_2022_20_21_33,564.97,
04_05_2022_20_21_34,564.99,
04_05_2022_20_21_35,564.98,
04_05_2022_20_21_37,564.99,
04_05_2022_20_21_38,565.00,
04_05_2022_20_21_39,564.99,
04_05_2022_20_21_41,564.99,
04_05_2022_20_21_42,564.98,
04_05_2022_20_21_43,564.99,
04_05_2022_20_21_44,564.97,
04_05_2022_20_21_46,564.98,
04_05_2022_20_21_47,565.00,
04_05_2022_20_21_48,564.99,
04_05_2022_20_21_50,564.99,
04_05_2022_20_21_51,565.00,
04_05_2022_20_21_52,564.99,
04_05_2022_20_21_53,564.99,
04_05_2022_20_21_55,564.98,
04_05_2022_20_21_56,564.97,
04_05_2022_20_21_57,564.96,
04_05_2022_20_21_58,564.99,
04_05_2022_20_22_00,565.00,
04_05_2022_20_22_01,564.96,
04_05_2022_20_22_02,564.98,
04_05_2022_20_22_04,564.97,
04_05_2022_20_22_05,564.99,
04_05_2022_20_22_06,565.00,
04_05_2022_20_22_07,564.99,
04_05_2022_20_22_09,564.98,
04_05_2022_20_22_10,564.97,
04_05_2022_20_22_11,564.98,
04_05_2022_20_22_13,565.00,
04_05_2022_20_22_14,565.00,
04_05_2022_20_22_15,565.00,
04_05_2022_20_22_17,565.02,
04_05_2022_20_22_18,565.00,
04_05_2022_20_22_19,565.00,
04_05_2022_20_22_21,564.98,
04_05_2022_20_22_22,565.00,
04_05_2022_20_22_23,564.99,
04_05_2022_20_22_25,564.99,
04_05_2022_20_22_26,564.97,
04_05_2022_20_22_27,565.01,
04_05_2022_20_22_28,564.98,
04_05_2022_20_22_30,565.00,
04_05_2022_20_22_31,564.98,
04_05_2022_20_22_32,565.00,
04_05_2022_20_22_34,564.98,
04_05_2022_20_22_35,564.98,
04_05_2022_20_22_36,564.97,
04_05_2022_20_22_38,564.98,
04_05_2022_20_22_39,565.00,
04_05_2022_20_22_40,565.00,
04_05_2022_20_22_42,565.00,
04_05_2022_20_22_43,564.99,
04_05_2022_20_22_44,564.96,
04_05_2022_20_22_45,565.00,
04_05_2022_20_22_47,565.00,
04_05_2022_20_22_48,564.99,
04_05_2022_20_22_49,565.01,
04_05_2022_20_22_51,564.98,
04_05_2022_20_22_52,565.01,
04_05_2022_20_22_53,565.01,
04_05_2022_20_22_55,564.98,
04_05_2022_20_22_56,565.03,
04_05_2022_20_22_57,564.98,
04_05_2022_20_22_58,565.00,
04_05_2022_20_23_00,564.99,
04_05_2022_20_23_01,564.99,
04_05_2022_20_23_02,564.97,
04_05_2022_20_23_03,564.97,
04_05_2022_20_23_05,565.00,
04_05_2022_20_23_06,564.99,
04_05_2022_20_23_07,565.00,
04_05_2022_20_23_09,565.00,
04_05_2022_20_23_10,565.03,
04_05_2022_20_23_11,565.02,
04_05_2022_20_23_13,565.01,
04_05_2022_20_23_14,564.99,
04_05_2022_20_23_15,564.96,
04_05_2022_20_23_16,565.00,
04_05_2022_20_23_18,564.98,
04_05_2022_20_23_19,564.99,
04_05_2022_20_23_20,564.98,
04_05_2022_20_23_22,564.99,
04_05_2022_20_23_23,565.01,
04_05_2022_20_23_24,564.97,
04_05_2022_20_23_25,564.98,
04_05_2022_20_23_27,565.01,
04_05_2022_20_23_28,565.01,
04_05_2022_20_23_29,565.00,
04_05_2022_20_23_31,564.98,
04_05_2022_20_23_32,565.00,
04_05_2022_20_23_33,564.98,
04_05_2022_20_23_35,564.99,
04_05_2022_20_23_36,564.96,
04_05_2022_20_23_37,564.98,
04_05_2022_20_23_38,564.99,
04_05_2022_20_23_40,565.00,
04_05_2022_20_23_41,564.96,
04_05_2022_20_23_42,565.00,
04_05_2022_20_23_43,564.99,
04_05_2022_20_23_45,565.00,
04_05_2022_20_23_46,565.02,
04_05_2022_20_23_47,565.00,
04_05_2022_20_23_48,564.99,
04_05_2022_20_23_50,564.98,
04_05_2022_20_23_51,564.99,
04_05_2022_20_23_52,565.01,
04_05_2022_20_23_54,565.01,
04_05_2022_20_23_55,564.99,
04_05_2022_20_23_56,565.03,
04_05_2022_20_23_57,565.00,
04_05_2022_20_23_59,565.01,
04_05_2022_20_24_00,565.01,
04_05_2022_20_24_01,565.02,
04_05_2022_20_24_02,565.02,
04_05_2022_20_24_04,565.00,
04_05_2022_20_24_05,564.99,
04_05_2022_20_24_06,564.99,
04_05_2022_20_24_08,565.00,
04_05_2022_20_24_09,565.00,
04_05_2022_20_24_10,564.99,
04_05_2022_20_24_12,565.01,
04_05_2022_20_24_13,564.96,
04_05_2022_20_24_14,565.00,
04_05_2022_20_24_15,564.97,
04_05_2022_20_24_17,565.02,
04_05_2022_20_24_18,564.96,
04_05_2022_20_24_19,564.96,
04_05_2022_20_24_20,564.99,
04_05_2022_20_24_22,565.00,
04_05_2022_20_24_23,564.99,
04_05_2022_20_24_24,565.01,
04_05_2022_20_24_26,564.99,
04_05_2022_20_24_27,565.00,
04_05_2022_20_24_28,565.01,
04_05_2022_20_24_30,565.00,
04_05_2022_20_24_31,565.02,
04_05_2022_20_24_32,565.00,
04_05_2022_20_24_33,565.01,
04_05_2022_20_24_35,565.01,
04_05_2022_20_24_36,565.01,
04_05_2022_20_24_37,565.01,
04_05_2022_20_24_39,564.96,
04_05_2022_20_24_40,564.97,
04_05_2022_20_24_41,564.98,
04_05_2022_20_24_42,564.99,
04_05_2022_20_24_44,565.01,
04_05_2022_20_24_45,564.98,
04_05_2022_20_24_46,565.02,
04_05_2022_20_24_48,565.00,
04_05_2022_20_24_49,565.00,
04_05_2022_20_24_50,565.01,
04_05_2022_20_24_52,565.00,
04_05_2022_20_24_53,564.99,
04_05_2022_20_24_54,564.98,
04_05_2022_20_24_56,564.98,
04_05_2022_20_24_57,564.99,
04_05_2022_20_24_58,565.00,
04_05_2022_20_24_59,564.98,
04_05_2022_20_25_01,564.99,
04_05_2022_20_25_02,565.03,
04_05_2022_20_25_03,565.00,
04_05_2022_20_25_05,565.01,
04_05_2022_20_25_06,565.00,
04_05_2022_20_25_07,565.00,
04_05_2022_20_25_08,564.99,
04_05_2022_20_25_10,565.01,
04_05_2022_20_25_11,564.99,
04_05_2022_20_25_12,565.00,
04_05_2022_20_25_14,565.01,
04_05_2022_20_25_15,565.01,
04_05_2022_20_25_16,565.03,
04_05_2022_20_25_18,565.01,
04_05_2022_20_25_19,565.00,
04_05_2022_20_25_20,564.99,
04_05_2022_20_25_21,564.98,
04_05_2022_20_25_23,564.97,
04_05_2022_20_25_24,564.99,
04_05_2022_20_25_25,565.00,
04_05_2022_20_25_27,565.00,
04_05_2022_20_25_28,565.02,
04_05_2022_20_25_29,564.98,
04_05_2022_20_25_30,564.99,
04_05_2022_20_25_32,565.00,
04_05_2022_20_25_33,565.01,
04_05_2022_20_25_34,565.00,
04_05_2022_20_25_36,565.00,
04_05_2022_20_25_37,564.99,
04_05_2022_20_25_38,565.01,
04_05_2022_20_25_40,565.02,
04_05_2022_20_25_41,565.03,
04_05_2022_20_25_42,565.01,
04_05_2022_20_25_44,565.01,
04_05_2022_20_25_45,564.98,
04_05_2022_20_25_46,565.00,
04_05_2022_20_25_47,565.01,
04_05_2022_20_25_49,565.01,
04_05_2022_20_25_50,565.00,
04_05_2022_20_25_51,565.01,
04_05_2022_20_25_52,565.03,
04_05_2022_20_25_54,564.98,
04_05_2022_20_25_55,565.00,
04_05_2022_20_25_56,564.99,
04_05_2022_20_25_58,565.01,
04_05_2022_20_25_59,565.03,
04_05_2022_20_26_00,564.99,
04_05_2022_20_26_02,565.01,
04_05_2022_20_26_03,564.99,
04_05_2022_20_26_04,564.99,
04_05_2022_20_26_06,565.03,
04_05_2022_20_26_07,565.00,
04_05_2022_20_26_08,564.98,
04_05_2022_20_26_09,564.99,
04_05_2022_20_26_11,564.99,
04_05_2022_20_26_12,565.02,
04_05_2022_20_26_13,564.99,
04_05_2022_20_26_14,564.97,
04_05_2022_20_26_16,565.00,
04_05_2022_20_26_17,565.00,
04_05_2022_20_26_18,564.99,
04_05_2022_20_26_20,564.99,
04_05_2022_20_26_21,565.00,
04_05_2022_20_26_22,565.01,
04_05_2022_20_26_24,565.00,
04_05_2022_20_26_25,565.00,
04_05_2022_20_26_26,565.00,
04_05_2022_20_26_27,565.01,
04_05_2022_20_26_29,564.99,
04_05_2022_20_26_30,564.99,
04_05_2022_20_26_31,565.00,
04_05_2022_20_26_33,565.00,
04_05_2022_20_26_34,565.01,
04_05_2022_20_26_35,565.00,
04_05_2022_20_26_37,565.03,
04_05_2022_20_26_38,565.04,
04_05_2022_20_26_39,565.07,
04_05_2022_20_26_40,565.09,
04_05_2022_20_26_42,565.07,
04_05_2022_20_26_43,565.03,
04_05_2022_20_26_44,565.07,
04_05_2022_20_26_46,565.07,
04_05_2022_20_26_47,565.05,
04_05_2022_20_26_48,565.08,
04_05_2022_20_26_49,565.04,
04_05_2022_20_26_51,565.08,
04_05_2022_20_26_52,565.06,
04_05_2022_20_26_53,565.02,
04_05_2022_20_26_55,565.06,
04_05_2022_20_26_56,565.06,
04_05_2022_20_26_57,565.07,
04_05_2022_20_26_59,565.04,
04_05_2022_20_27_00,565.06,
04_05_2022_20_27_01,565.08,
04_05_2022_20_27_02,565.06,
04_05_2022_20_27_04,565.05,
04_05_2022_20_27_05,565.07,
04_05_2022_20_27_06,565.06,
04_05_2022_20_27_08,565.05,
04_05_2022_20_27_09,565.05,
04_05_2022_20_27_10,565.10,
04_05_2022_20_27_11,565.09,
04_05_2022_20_27_13,565.08,
04_05_2022_20_27_14,565.04,
04_05_2022_20_27_15,565.03,
